Company Name,Description,Address,Telephone Number,Fax Number,Telex Number,Website,Email Address,Category
A & B Logistics Ltd.,"Air or Sea to Mongolia, Finland, Russia, Iceland, Greece & worldwide for general cargoes, battery cargoes & D.G.","Room 12A, 16/F.,
Profit Ind. Bldg.,
1-15 Kwai Fung Crescent,
Kwai Chung,
New Territories,
Hong Kong.","(852) 2363-1330
(852) 9016-7757",(852) 2363-4294,,http://www.a-blogistics.hk,kei@a-blogistics.net, Freight Forwarders/Logistics
"A & E Surveyors Co., Ltd.","Marine & Cargo surveyors, container inspection, preshipment inspection, claims settling & recovery. ","P. O. Box 81,
Tsuen Wan Post Office,
Hong Kong.",(852) 2149-6020 ,(852) 2149-6298 ,,,aeshkg@yahoo.com.hk, Surveyors
A & G Logistics Limited,"We provide air freight, sea freight, road freight Sino-Hong Kong courier shipment and logistics services, such as re-packing, labeling, distrubution services.","Unit C, 10/F., 
Blk. 2,
Kwai Tak Industrial Centre,
15-33 Kwai Tak Street,
Kwai Chung,
New Territories,
Hong Kong. ",(852) 2758-9220 ,(852) 2755-9559,,http://www.anghk.com,"alan@anghk.com
kam@anghk.com", Freight Forwarders/Logistics
A.R.T. Logistics,"A.R.T. Logistics provides air & sea freight (FCL&LCL),rail (wagons,FCL&LCL) & road freight (FTL&LTL) to EU, Russia, Kazakhstan and Central Asia.","Unit 4616-4617, 46/F,
Tower 1, 
Metroplaza, 
223 Hing Fong Road,
Kwai Chung, 
New Territories,
Hong Kong.",(852) 2619-9317,(852) 2619-9313,,http://www.art-businessgroup.com,kito.ho@art-businessgroup.com, Freight Forwarders/Logistics
Abacus Ship Management Limited,Ship management and crew manning,"15/F,
Hong Kong Diamond Exchange Building,
8 Duddell Street,
Central,
Hong Kong.",(852) 2523-5754,(852) 2810-0414,,,operations@abacus-shipmgmt.com.hk, Ship Management
ABB Turbo Systems (Hong Kong) Ltd,"Supply of ABB turbochargers, spare parts and after-sale service.","3 Dai Hei Street,
Tai Po Industrial Estate,
Tai Po,
New Territories,
Hong Kong.",(852) 9103-5163,(852) 2929-3501,,http://www.abb.com/turbocharging,turbo.hk@cn.abb.com," Marine Suppliers (Equipment), Shipyards/Ship Repairers"
ABC Shipping (Hong Kong) Limited,"Shipbroking, sale and purchase of vessels and part-time arbitrator/ mediator. ","Unit 25C, 25th Floor,
West Gate Tower,
7, Wing Hong Street,
Cheung Sha Wan,
Kowloon,
Hong Kong.",(852) 2866-6849 ,(852) 2661-3285,,,abc@abcs.hk , Ship Brokers
ADL Express Limited,"Air or Sea to Mongolia, Finland, Russia, Iceland, Greece & worldwide for general cargoes, battery cargoes & D.G.","B1, G/F,
Gee Chang Ind. Bldg.,
108 Lok Shan Road,
Tokwawan, Kowloon,
Hong Kong.",(852) 2363-4281,(852) 2363-4294,,http://www.adlexpress.com,kei@adlexpress.com, Freight Forwarders/Logistics
Advanced Level Inspectorate Ltd.,"Established in 1992, our services cover: Damage and Loss, Loading, Unloading, Transfer, Lashing, Weight, etc. in Hong Kong and China.","Workshop 4, 2/F.,
Wing Hing Industrial Building,
83-93 Chai Wan Kok Street,
Tsuen Wan,
New Territories,
Hong Kong.",(852) 2311-9111,(852) 2119-7119,,http://www.advanced-level.com.hk,inspectorate@advanced-level.com.hk," Maritime Consultancy, Surveyors"
AEL-Berkman Forwarding (H.K.) Limited,"Air, sea and multimodal international transport, FCL & LCL, NVOCC, consolidation, customs clearance, warehousing, domestic transportation, exhibitions, project shipments.","Unit F, 15/F.,
MG Tower,
No. 133 Hoi Bun Road,
Kwun Tong,
Kowloon,
Hong Kong.",(852) 2541-9515,(852) 2854-0660,,http://www.aelbkm.com,bonny@hk.aelbkm.com, Freight Forwarders/Logistics
