Company Name,Address,District Number,Telephone Number,Fax Number,Website,Email Address,Category
A & B LOGISTICS LTD.,"PROFIT IND. BLDG.,
1-15 KWAI FUNG CRESCENT,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,"2363-1330
",2363-4294,http://www.a-blogistics.hk,kei@a-blogistics.net, FREIGHT FORWARDERS/LOGISTICS
"A & E SURVEYORS CO., LTD.","TSUEN WAN POST OFFICE,
HONG KONG.",852,2149-6020,2149-6298,,aeshkg@yahoo.com.hk, SURVEYORS
A & G LOGISTICS LIMITED,"KWAI TAK INDUSTRIAL CENTRE,15-33 KWAI TAK STREET,KWAI CHUNG,NEW TERRITORIES,HONG KONG. ",852,2758-9220,2755-9559,http://www.anghk.com,"alan@anghk.com
kam@anghk.com", FREIGHT FORWARDERS/LOGISTICS
A.R.T. LOGISTICS,"METROPLAZA,223 HING FONG ROAD,KWAI FONG,HONG KONG.",852,2619-9317,2619-9313,http://www.art-businessgroup.com,kito.ho@art-businessgroup.com, FREIGHT FORWARDERS/LOGISTICS
ABACUS SHIP MANAGEMENT LIMITED,"HONG KONG DIAMOND EXCHANGE BUILDING,
8 DUDDELL STREET,
CENTRAL,
HONG KONG.",852,2523-5754,2810-0414,,operations@abacus-shipmgmt.com.hk, SHIP MANAGEMENT
ABB TURBO SYSTEMS (HONG KONG) LTD,"3 DAI HEI STREET,
TAI PO INDUSTRIAL ESTATE,
TAI PO,
NEW TERRITORIES,
HONG KONG.",852,9103-5163,2929-3501,http://www.abb.com/turbocharging,turbo.hk@cn.abb.com, MARINE SUPPLIERS (EQUIPMENT)
ABC SHIPPING (HONG KONG) LIMITED,"WEST GATE TOWER,7, WING HONG STREET,CHEUNG SHA WAN,KOWLOON,HONG KONG.",852,2866-6849,2661-3285,,abc@abcs.hk , SHIP BROKERS
ADL EXPRESS LIMITED,"GEE CHANG IND. BLDG.,
108 LOK SHAN ROAD,
TOKWAWAN, KOWLOON,
HONG KONG.",852,2363-4281,2363-4294,http://www.adlexpress.com,kei@adlexpress.com, FREIGHT FORWARDERS/LOGISTICS
ADVANCED LEVEL INSPECTORATE LTD.,"WING HING INDUSTRIAL BUILDING,
83-93 CHAI WAN KOK STREET,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG.",852,2311-9111,2119-7119,http://www.advanced-level.com.hk,inspectorate@advanced-level.com.hk, MARITIME CONSULTANCY
AEL-BERKMAN FORWARDING (H.K.) LIMITED,"MG TOWER,
NO. 133 HOI BUN ROAD,
KWUN TONG,
KOWLOON,
HONG KONG.",852,2541-9515,2854-0660,http://www.aelbkm.com,bonny@hk.aelbkm.com, FREIGHT FORWARDERS/LOGISTICS
AEQUILIBRIUM SCIENCE,"20 GRAND BUILDING,
GRANVILLE CIRCUIT,
TSIM SHA TSUI,
KOWLOON,
HONG KONG.",852,6171-6010,7183-2483,http://www.aequilibriumscience.com,info@aequilibriumscience.com, MARITIME CONSULTANCY
ALATAS HONG KONG LTD.,"WINNING CENTRE,
29 TAI YAU STREET,
SAN PO KONG,
KOWLOON,
HONG KONG.",852,2153-2153,2153-2163,http://www.alatas.com,hongkong@alatas.com.hk, MARINE SUPPLIERS (EQUIPMENT)
